,Step,Value
1624961174,3930810,33.88204956
1624961256,3959210,32.36890793
1624961268,3963310,32.24346161
1624961289,3970310,31.27399826
1624961297,3973110,29.20027351
1624961311,3978210,32.86768723
1624961339,3987910,34.33041382
1624961348,3991010,33.69489288
1624961350,3991510,32.81139755
1624961355,3993210,34.59270859
1624961369,3998310,33.96564865
1624961380,4002110,34.7297554
1624961439,4022510,31.95764732
1624961460,4029710,32.74868393
1624961491,4040210,32.65228653
1624961515,4048910,33.42320251
1624961519,4050110,34.49166107
1624961529,4053310,33.45473099
1624961537,4056110,33.22663879
1624961562,4064810,32.83171844
1624961565,4065810,33.91194916
1624961567,4066410,33.82949829
1624961568,4066810,33.8392601
1624961577,4069910,32.95669937
1624961578,4070110,32.31529999
1624961582,4071510,33.44355392
1624961584,4072110,32.5750885
1624961605,4079410,34.63924026
1624961675,4104110,30.50941849
1624961701,4112910,31.09970474
1624961708,4115510,32.26526642
1624961734,4124510,33.1762886
1624961742,4127210,34.05903625
1624961763,4134210,33.96804047
1624961782,4141010,33.72469711
1624961787,4142610,34.03661346
1624961806,4149210,33.21403122
1624961820,4154010,31.48521614
1624961824,4155610,32.96450806
1624961832,4158510,32.07949448
1624961839,4161010,33.84267807
1624961845,4162910,32.63540268
1624961887,4177310,35.41922379
1624961889,4178110,34.33850861
1624961907,4184510,33.39348602
1624961915,4187210,32.95279312
1624961954,4200710,33.99616241
1624961956,4201410,32.67553329
1624961962,4203210,32.78250885
1624961991,4213510,33.91326523
1624961998,4215910,34.74412537
1624962001,4216910,34.15686417
1624962005,4218310,33.72527695
1624962023,4224510,34.3849411
1624962050,4234010,29.62128639
1624962069,4240610,32.12118149
1624962073,4241910,30.70401001
1624962082,4245110,33.87915421
1624962087,4246910,33.8998909
1624962090,4247910,33.82600403
1624962096,4250010,33.13531494
1624962128,4260910,33.95155334
1624962148,4267910,33.5080452
1624962176,4277710,33.54265976
1624962210,4289410,32.73416901
1624962221,4293210,33.1548996
1624962230,4296510,34.27491379
1624962235,4298210,34.32718277
1624962247,4302110,33.83031082
1624962316,4326310,33.77817535
1624962321,4327910,33.93854141
1624962363,4342310,34.77194214
1624962378,4347510,32.53722382
1624962391,4351910,32.2841835
1624962401,4355410,33.94902802
1624962410,4358410,34.57451248
1624962416,4360810,32.6352005
1624962424,4363210,34.55558777
1624962426,4364010,34.15259552
1624962429,4365110,33.99849319
1624962430,4365210,33.90550995
1624962447,4371210,33.18335342
1624962454,4373910,34.85693741
1624962456,4374310,33.86185074
1624962460,4375810,33.93652725
1624962467,4378410,33.40175629
1624962471,4379510,33.19318008
1624962474,4380610,34.25022507
1624962483,4383910,34.04772568
1624962508,4392410,34.08950806
1624962523,4397710,33.95746613
1624962524,4398110,34.68865204
1624962528,4399410,33.95475006
1624962551,4407410,35.35320282
1624962552,4407810,33.65613556
1624962559,4410510,33.45452499
1624962562,4411410,33.72208405
1624962587,4420110,34.47710419
1624962589,4420810,34.79288864
1624962602,4425210,33.87911987
1624962617,4430510,34.25407791
1624962628,4434010,34.0254631
1624962629,4434410,34.78154373
1624962646,4440510,34.36049652
1624962674,4450210,34.17538071
1624962685,4454010,34.68713379
1624962699,4458610,33.90224457
1624962699,4458710,34.14171219
1624962700,4459010,35.02714157
1624962716,4464610,33.69708633
1624962741,4473010,33.19112778
1624962747,4475410,33.43542099
1624962762,4480310,34.43787384
1624962766,4481710,34.99425888
1624962811,4496510,33.33685684
1624962819,4499510,33.0096817
1624962837,4505410,34.21081543
1624962852,4510510,34.31646729
1624962911,4531110,34.9538002
1624962914,4532010,34.90208054
1624962919,4534010,34.26230621
1624962928,4537110,33.79213715
1624962929,4537310,34.34987259
1624962967,4550810,31.8723526
1624962978,4554410,32.77878952
1624962990,4558810,34.54883575
1624963007,4564710,34.60686493
1624963011,4565910,33.61700439
1624963043,4577210,33.77687073
1624963054,4580910,33.70797729
1624963062,4584010,34.89251328
1624963072,4587510,33.91951752
1624963116,4602510,33.38396835
1624963118,4603410,34.87727356
1624963126,4606110,34.14429855
1624963135,4609110,34.51232529
1624963144,4612510,33.3060379
1624963157,4617010,34.66757965
1624963160,4617810,32.6751442
1624963168,4620610,34.76142502
1624963200,4631910,32.64095306
1624963205,4633510,32.22916031
1624963212,4635810,33.37284851
1624963223,4639710,33.66768265
1624963228,4641410,34.32701492
1624963253,4650010,33.77856445
1624963255,4650910,32.35437012
1624963267,4654310,32.51460266
1624963300,4665810,33.25520706
1624963311,4669710,33.37018204
1624963327,4674910,32.67677689
