Wall time,Step,Value
1624953820.8960848,1547410,28.55274200439453
1624953821.38954,1547610,25.2442626953125
1624953829.2032166,1550810,27.60576057434082
1624953836.7421627,1553910,25.511037826538086
1624953851.471265,1559810,27.568145751953125
1624953886.7721326,1574110,27.468835830688477
1624953892.6278255,1576510,28.533966064453125
1624953894.821665,1577410,28.494569778442383
1624953908.3533995,1582910,27.878801345825195
1624953945.6746235,1598010,29.171140670776367
1624953949.1768656,1599410,27.789688110351562
1624953974.2221549,1609610,29.39295768737793
1624953979.709601,1611710,27.322877883911133
1624954012.348624,1625010,28.723472595214844
1624954030.0878062,1632210,27.158397674560547
1624954035.5029008,1634410,29.938846588134766
1624954039.6770737,1636110,27.852310180664062
1624954051.1703572,1640710,29.250263214111328
1624954059.5361083,1644110,26.973026275634766
1624954075.4335048,1650610,28.79863739013672
1624954095.2326372,1658610,28.01485824584961
1624954114.136322,1666210,27.797483444213867
1624954122.9330077,1669810,28.058109283447266
1624954150.3161068,1680910,28.969844818115234
1624954150.571821,1681010,30.161806106567383
1624954159.0330791,1684410,29.261348724365234
1624954162.455605,1685810,27.884065628051758
1624954172.7347405,1690010,28.87237548828125
1624954214.0684378,1706710,29.414691925048828
1624954221.7882664,1709810,29.704849243164062
1624954230.069081,1713210,28.439241409301758
1624954256.5024304,1724010,27.73189353942871
1624954264.5668137,1727310,28.130155563354492
1624954268.9833157,1729110,28.602094650268555
1624954269.47782,1729310,28.348386764526367
1624954275.5674615,1731710,27.668798446655273
1624954275.8157566,1731810,28.016895294189453
1624954276.5652997,1732110,28.787885665893555
1624954281.2784302,1734010,28.7093563079834
1624954289.8625543,1737510,27.203149795532227
1624954297.40148,1740610,27.808712005615234
1624954307.0003464,1744510,30.210660934448242
1624954309.4236438,1745510,28.760156631469727
1624954331.2603369,1754410,25.27199935913086
1624954334.6871533,1755810,28.569427490234375
1624954342.0927227,1758710,29.294719696044922
1624954344.0989268,1759510,27.265676498413086
1624954351.1704774,1762410,27.717256546020508
1624954375.450133,1772310,27.348018646240234
1624954432.402785,1795410,27.24529457092285
1624954439.3783588,1798210,27.788209915161133
1624954441.5865378,1799110,27.970312118530273
1624954448.4587998,1801910,29.0869083404541
1624954457.1001806,1805410,27.818748474121094
1624954460.1564143,1806610,30.17165756225586
1624954475.8892748,1813010,28.338422775268555
1624954509.2659793,1826510,29.599782943725586
1624954522.8301084,1831910,26.368846893310547
1624954555.634829,1845210,28.002601623535156
1624954555.8807821,1845310,27.196697235107422
1624954590.4540746,1859310,28.40242576599121
1624954619.9873507,1871410,28.490148544311523
1624954621.688924,1872110,28.667573928833008
1624954652.3402689,1884610,27.61425018310547
1624954679.7953727,1895910,26.2800235748291
1624954684.4648252,1897810,28.27470588684082
1624954691.3313324,1900610,30.021631240844727
1624954696.70942,1902810,29.628883361816406
1624954702.067348,1904910,28.477813720703125
1624954718.6516285,1911710,28.174591064453125
1624954731.4448893,1917010,26.17867088317871
1624954745.6017869,1922810,30.578292846679688
1624954756.256634,1927210,27.86158561706543
1624954808.6686213,1948610,27.408945083618164
1624954813.012688,1950410,27.20269012451172
1624954818.4864144,1952610,28.555339813232422
1624954819.9369063,1953210,28.083620071411133
1624954846.5457468,1964110,28.845548629760742
1624954849.9319222,1965510,28.204587936401367
1624954852.6117806,1966610,27.474040985107422
1624954865.9582696,1972110,26.718183517456055
1624954868.72956,1973210,28.614608764648438
1624954870.175792,1973810,27.511554718017578
1624954884.9188504,1979710,28.729970932006836
1624954891.5618904,1982410,27.487157821655273
1624954897.1355336,1984710,26.186433792114258
1624954914.164376,1991710,26.36939811706543
1624954919.499431,1993910,28.53499984741211
1624954927.549238,1997210,28.116098403930664
1624954933.4385774,1999610,30.735593795776367
1624954943.387367,2003610,30.371950149536133
1624954947.7439253,2005410,28.056787490844727
1624954949.191974,2006010,29.152936935424805
1624954949.9272764,2006310,28.408618927001953
1624954968.4250634,2013910,25.54656219482422
1624954968.6815817,2014010,26.293045043945312
1624954980.2191272,2018710,28.97338104248047
1624954987.740689,2021810,29.217397689819336
1624954994.2723398,2024510,28.598344802856445
1624954994.9988372,2024810,27.448633193969727
1624954996.2452831,2025310,27.987953186035156
1624955013.89371,2032410,27.785953521728516
1624955016.5456476,2033510,27.190702438354492
1624955028.429353,2038410,28.50981330871582
1624955042.4602394,2044110,29.21703338623047
1624955053.4139736,2048610,28.130186080932617
1624955063.56128,2052710,28.11671257019043
1624955066.8564184,2054010,27.034034729003906
1624955067.0962613,2054110,26.577491760253906
1624955072.590628,2056310,27.284746170043945
1624955076.4696608,2057910,27.627180099487305
1624955103.770469,2069010,28.02136993408203
1624955108.9389207,2071110,28.359703063964844
1624955125.8589215,2078010,26.608081817626953
1624955126.5770912,2078310,26.83745765686035
1624955126.816119,2078410,26.726070404052734
1624955138.7033653,2083210,28.279558181762695
1624955144.5509264,2085610,28.359134674072266
1624955177.2844436,2098810,28.84230613708496
1624955196.7574036,2106810,29.09483528137207
1624955199.9005373,2108110,27.957130432128906
1624955215.6389718,2114510,28.210105895996094
1624955232.0405579,2121010,26.936031341552734
1624955237.90141,2123310,29.860376358032227
1624955258.6649494,2131710,25.914161682128906
1624955259.413362,2132010,28.79365348815918
1624955260.637307,2132510,27.289371490478516
1624955277.43155,2139210,29.239736557006836
1624955282.0063941,2141010,27.912315368652344
1624955300.982662,2148510,28.49619483947754
1624955310.7458234,2152410,27.680274963378906
1624955349.7233102,2168210,27.704465866088867
1624955360.202828,2172410,28.90622901916504
1624955360.4330933,2172510,29.364248275756836
1624955376.8078344,2179010,28.125402450561523
1624955378.2558107,2179610,28.84900665283203
1624955384.7782714,2182210,27.81850814819336
1624955389.895499,2184310,27.49388885498047
1624955391.3792827,2184910,29.10999870300293
1624955430.5837364,2200710,29.683286666870117
1624955489.8709242,2224610,27.153953552246094
1624955493.0739756,2225910,28.295377731323242
1624955501.5032356,2229310,30.17559051513672
1624955507.3696218,2231710,27.94451141357422
1624955510.7998407,2233110,28.034088134765625
1624955517.6824791,2235910,30.19975471496582
1624955546.1848414,2247310,28.317642211914062
1624955554.7292356,2250810,28.660593032836914
1624955563.8344479,2254510,28.368816375732422
1624955586.4266794,2263610,25.065536499023438
1624955618.7457864,2276610,29.07294464111328
1624955637.2525702,2284110,29.011953353881836
1624955659.4766607,2293110,26.806961059570312
1624955660.195426,2293410,28.481952667236328
1624955696.5149517,2308110,28.458953857421875
1624955697.5011818,2308510,28.251300811767578
1624955708.1403484,2312810,28.343795776367188
1624955710.8358192,2313910,29.339109420776367
1624955713.2846956,2314910,27.530704498291016
1624955721.8016193,2318310,28.91795539855957
